,Symbol,product_name,Marketcap,sector,Industry,asset_class,close_price,risk_score,return_2019,return_2018,return_2017,return_2016,return_2015,return_2014,return_2013,return_2012,return_2011,return_2010
56,AEY,"ADDvantage Technologies Group, Inc.",21909988.0632,Consumer Services,Office Equipment/Supplies/Services,Micro Cap,2.1,44.75,70.83,-2.04,-16.95,-2.21,-25.82,-9.29,35.18,-5.24,-33.12,59.39
57,IOTS,Adesto Technologies Corporation,258422927.84,Technology,Semiconductors,Micro Cap,8.06,58.69,,,,,,,,,,
58,ADIL,"Adial Pharmaceuticals, Inc",21874906.24,Health Care,Major Pharmaceuticals,Micro Cap,2.01,86.45,,,,,,,,,,
60,ADMA,ADMA Biologics Inc,264559863.3,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Micro Cap,4.16,67.62,,,,,,,,,,
61,ADBE,Adobe Inc.,168693241860.0,Technology,Computer Software: Prepackaged Software,Large Cap,346.9,22.69,45.78,29.1,70.22,9.59,29.22,21.41,58.92,33.29,-8.15,-16.31
62,ADTN,"ADTRAN, Inc.",492611126.9,Public Utilities,Telecommunications Equipment,Small Cap,9.57,46.39,-5.22,-43.14,-11.96,32.36,-19.3,-17.98,40.44,-34.2,-15.88,62.66
63,ADRO,"Aduro Biotech, Inc.",112720242.6,Health Care,Major Pharmaceuticals,Micro Cap,1.4,85.77,,,,,,,,,,
64,ADES,"Advanced Emissions Solutions, Inc.",206150856.64,Basic Industries,Major Chemicals,Micro Cap,10.78,36.14,8.35,20.37,12.78,29.41,-68.67,-15.95,221.27,-25.44,102.87,82.95
65,AEIS,"Advanced Energy Industries, Inc.",2836923936.3,Capital Goods,Industrial Machinery/Components,Mid Cap,71.62,37.58,65.85,-36.38,23.25,93.94,19.11,3.67,65.53,28.7,-21.33,-9.55
66,AMD,"Advanced Micro Devices, Inc.",59438848514.54,Technology,Semiconductors,Large Cap,49.26,49.56,148.43,79.57,-9.35,295.12,7.49,-31.01,61.25,-55.56,-33.99,-15.5
67,ADXS,"Advaxis, Inc.",60755823.04,Health Care,Major Pharmaceuticals,Micro Cap,0.819,132.25,-69.89,-93.31,-60.34,-28.83,25.59,88.92,13.07,-80.89,26.61,-8.15
68,ADVM,"Adverum Biotechnologies, Inc.",756971899.12,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Small Cap,11.19,104.05,,,,,,,,,,
69,DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,33277500.0,,,Micro Cap,26.11,,,,,,,,,,,
70,DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,29328750.0,,,Micro Cap,25.435,,,,,,,,,,,
71,DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,29351250.0,,,Micro Cap,25.808,,,,,,,,,,,
72,DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,2440000.0,,,Micro Cap,23.94,15.11,,,,,,,,,,
73,DWSH,AdvisorShares Dorsey Wright Short ETF,45400000.0,,,Micro Cap,24.29,22.96,,,,,,,,,,
74,ACT,AdvisorShares Vice ETF,12228067.5,,,Micro Cap,24.998,12.8,,,,,,,,,,
75,AEGN,Aegion Corp,687774638.72,Basic Industries,Water Supply,Small Cap,22.41,36.87,37.07,-35.82,7.3,22.73,3.76,-14.98,-1.35,44.65,-42.14,16.68
76,AGLE,"Aeglea BioTherapeutics, Inc.",230145012.92,Health Care,Major Pharmaceuticals,Micro Cap,7.165,49.69,,,,,,,,,,
77,AEHR,Aehr Test Systems,45481972.0,Capital Goods,Electrical Products,Micro Cap,2.1,61.93,41.84,-47.97,12.45,28.19,-26.27,-17.48,263.53,63.46,-56.67,-9.09
78,AMTX,"Aemetis, Inc",18000970.6437,Basic Industries,Major Chemicals,Micro Cap,0.8,78.49,,,,,,,,,,
79,AERI,"Aerie Pharmaceuticals, Inc.",1053349863.96,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Small Cap,20.94,61.7,,,,,,,,,,
80,AVAV,"AeroVironment, Inc.",1699495237.44,Capital Goods,Aerospace,Small Cap,67.38,38.28,-9.14,20.99,109.32,-8.96,8.15,-6.49,34.04,-30.92,17.29,-7.74
81,ARPO,"Aerpio Pharmaceuticals, Inc.",24953504.8592,Health Care,Major Pharmaceuticals,Micro Cap,0.65,138.66,,,,,,,,,,
82,AIH,Aesthetic Medical International Holdings Group Ltd.,20325000.0,Health Care,Medical Specialities,Micro Cap,7.2,,,,,,,,,,,
83,AEZS,AEterna Zentaris Inc.,21834454.9,Health Care,Major Pharmaceuticals,Micro Cap,1.2,84.23,-69.05,24.58,-34.44,-19.64,-92.53,-56.52,-42.02,-74.24,-10.47,112.35
84,AEMD,"Aethlon Medical, Inc.",6663292.48,Capital Goods,Biotechnology: Laboratory Analytical Instruments,Micro Cap,3.97,489.79,-96.14,46.9,-73.1,-38.14,-49.7,58.82,142.86,40.0,-76.19,-30.0
85,GNMX,"Aevi Genomic Medicine, Inc.",14182765.215,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Micro Cap,0.19,103.89,,,,,,,,,,
86,AFMD,Affimed N.V.,230208318.4,Health Care,Major Pharmaceuticals,Micro Cap,2.73,58.12,,,,,,,,,,
87,AFYA,Afya Limited,2580147906.25,Consumer Services,Other Consumer Services,Mid Cap,28.82,,,,,,,,,,,
88,AGBA,AGBA Acquisition Limited,60347500.0,Finance,Business Services,Micro Cap,10.1,,,,,,,,,,,
90,AGBAU,AGBA Acquisition Limited,61542500.0,Finance,Business Services,Micro Cap,10.3,,,,,,,,,,,
92,AGEN,Agenus Inc.,541204219.38,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Small Cap,3.71,56.75,71.01,-26.99,-20.87,-9.25,14.36,50.38,-35.61,105.0,-67.0,57.81
93,AGRX,"Agile Therapeutics, Inc.",196836000.0,Health Care,Major Pharmaceuticals,Micro Cap,3.41,179.16,,,,,,,,,,
94,AGYS,"Agilysys, Inc.",666697347.22,Technology,EDP Services,Small Cap,30.21,29.16,77.2,16.78,18.53,3.7,-20.65,-9.55,66.31,5.28,41.21,-38.2
95,AGIO,"Agios Pharmaceuticals, Inc.",3614066955.84,Health Care,Major Pharmaceuticals,Mid Cap,52.69,47.69,,,,,,,,,,
96,AGMH,AGM Group Holdings Inc.,329488656.9515,Technology,EDP Services,Small Cap,15.42,83.21,,,,,,,,,,
97,AGNC,AGNC Investment Corp.,9871752642.25,Consumer Services,Real Estate Investment Trusts,Mid Cap,18.27,12.39,13.31,-2.46,23.73,18.23,-9.93,31.01,-22.31,20.14,18.59,32.12
99,AGNCN,AGNC Investment Corp.,340210.0,Consumer Services,Real Estate Investment Trusts,Micro Cap,26.36,5.27,,,,,,,,,,
100,AGNCO,AGNC Investment Corp.,244964000.0,Consumer Services,Real Estate Investment Trusts,Micro Cap,25.86,,,,,,,,,,,
101,AGFS,"AgroFresh Solutions, Inc.",126885116.22,Finance,Business Services,Micro Cap,2.34,68.14,,,,,,,,,,
103,ALRN,"Aileron Therapeutics, Inc.",22387338.19,Health Care,Major Pharmaceuticals,Micro Cap,0.72,112.32,,,,,,,,,,
104,AIMT,"Aimmune Therapeutics, Inc.",2210424895.44,Health Care,Major Pharmaceuticals,Mid Cap,32.06,47.38,,,,,,,,,,
105,AIRT,"Air T, Inc.",63823149.7545,Transportation,Air Freight/Delivery Services,Micro Cap,20.15,59.54,23.37,-0.77,7.35,-6.01,-4.3,113.62,45.64,2.7,-10.5,5.73
108,ATSG,"Air Transport Services Group, Inc",1427891910.25,Transportation,Air Freight/Delivery Services,Small Cap,21.43,31.76,2.85,-1.43,44.99,58.33,17.76,5.81,101.75,-15.04,-40.25,199.24
109,AIRG,"Airgain, Inc.",100266814.56,Technology,Radio And Television Broadcasting And Communications Equipment,Micro Cap,9.66,49.29,,,,,,,,,,
110,ANTE,AirNet Technology Inc.,9577681.94,Technology,Advertising,Micro Cap,1.07,83.53,-20.0,-78.26,-53.25,-55.99,118.36,26.11,5.73,-47.11,-47.31,-8.26
111,AKAM,"Akamai Technologies, Inc.",15402211325.1,Miscellaneous,Business Services,Large Cap,94.23,21.36,41.42,-6.09,-2.46,26.7,-16.41,33.45,15.33,26.73,-31.39,85.67
112,AKTX,Akari Therapeutics Plc,40664780.38,Health Care,Major Pharmaceuticals,Micro Cap,1.87,152.26,,,,,,,,,,
113,SONG,Akazoo S.A.,257398272.018,Consumer Services,Broadcasting,Micro Cap,5.0,,,,,,,,,,,
114,SONGW,Akazoo S.A.,2720695.12,Consumer Services,Broadcasting,Micro Cap,0.36,,,,,,,,,,,
115,AKCA,"Akcea Therapeutics, Inc.",1718208328.1,Health Care,Major Pharmaceuticals,Small Cap,18.3,66.93,,,,,,,,,,
116,AKBA,"Akebia Therapeutics, Inc.",955112418.48,Health Care,Major Pharmaceuticals,Small Cap,7.81,74.43,,,,,,,,,,
117,KERN,Akerna Corp.,96878063.88,Technology,EDP Services,Micro Cap,8.41,167.2,,,,,,,,,,
119,AKRO,"Akero Therapeutics, Inc.",576313617.54,Health Care,Major Pharmaceuticals,Small Cap,23.59,,,,,,,,,,,
120,AKER,Akers Biosciences Inc.,5998987.65,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Micro Cap,2.93,99.96,,,,,,,,,,
121,AKRX,"Akorn, Inc.",170296873.2,Health Care,Major Pharmaceuticals,Micro Cap,1.34,86.26,-55.75,-89.48,47.64,-41.49,3.07,47.03,84.28,20.14,83.2,239.11
122,AKTS,"Akoustis Technologies, Inc.",320767087.28,Public Utilities,Telecommunications Equipment,Small Cap,8.185,56.48,,,,,,,,,,
123,ALRM,"Alarm.com Holdings, Inc.",2235786513.31,Technology,Computer Software: Prepackaged Software,Mid Cap,45.23,32.05,,,,,,,,,,
124,ALSK,"Alaska Communications Systems Group, Inc.",104432810.63,Public Utilities,Telecommunications Equipment,Micro Cap,1.95,30.43,22.92,-46.27,63.41,-6.29,-2.23,-15.57,9.28,-31.51,-70.3,52.01
125,ALAC,Alberton Acquisition Corporation,152253382.85,Finance,Business Services,Micro Cap,10.39,2.85,,,,,,,,,,
129,ALBO,"Albireo Pharma, Inc.",316783802.72,Health Care,Major Pharmaceuticals,Small Cap,23.24,56.35,3.63,-4.18,44.39,73.82,-74.44,-41.67,-2.98,-3.69,-66.67,-57.83
130,ABDC,Alcentra Capital Corp.,118712718.52,,,Micro Cap,9.48,21.0,,,,,,,,,,
131,ALDX,"Aldeyra Therapeutics, Inc.",174985385.62,Health Care,Major Pharmaceuticals,Micro Cap,5.85,75.07,,,,,,,,,,
132,ALEC,"Alector, Inc.",1473589347.4,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Small Cap,25.73,,,,,,,,,,,
133,ALRS,Alerus Financial Corporation,370143320.69,Finance,Major Banks,Small Cap,21.56,14.78,21.99,-3.68,23.28,-7.75,-2.25,18.57,68.76,24.63,8.28,17.61
134,ALXN,"Alexion Pharmaceuticals, Inc.",25065596569.57,Health Care,Major Pharmaceuticals,Large Cap,105.3,36.38,11.08,-18.59,-2.26,-35.86,3.09,39.25,41.75,31.1,77.53,64.99
135,ALCO,"Alico, Inc.",278750208.0,Consumer Non-Durables,Farming/Seeds/Milling,Micro Cap,37.07,23.44,22.51,0.79,9.52,-29.22,-22.15,29.68,7.02,90.36,-18.12,-15.92
136,ALGN,"Align Technology, Inc.",22122797310.6,Health Care,Industrial Specialties,Large Cap,260.91,48.04,33.24,-5.74,131.13,45.98,17.78,-2.15,105.91,16.94,21.44,9.65
137,ALIM,"Alimera Sciences, Inc.",34993746.6,Health Care,Major Pharmaceuticals,Micro Cap,6.85,279.44,952.78,-45.86,23.15,-55.37,-56.32,17.87,199.36,25.6,-87.96,0.0
138,ALYA,Alithya Group inc.,141790482.66,Technology,"Computer Software: Programming, Data Processing",Micro Cap,2.62,62.22,18.3,-49.18,-16.8,-6.37,6.66,7.44,83.95,37.68,17.45,-20.88
139,ALJJ,"ALJ Regional Holdings, Inc.",48419100.345,Miscellaneous,Business Services,Micro Cap,1.3,67.61,-12.21,-58.41,-28.25,-4.36,5.52,180.65,121.43,79.49,30.0,3.45
140,ALKS,Alkermes plc,3030728032.28,Health Care,Major Pharmaceuticals,Mid Cap,17.15,42.53,-30.87,-46.08,-1.53,-29.98,35.55,44.02,119.55,6.68,41.37,30.5
141,ALLK,Allakos Inc.,4042657539.18,Health Care,Major Pharmaceuticals,Mid Cap,73.6,102.18,,,,,,,,,,
142,ABTX,"Allegiance Bancshares, Inc.",778316552.2,Finance,Major Banks,Small Cap,36.48,23.72,,,,,,,,,,
143,ALGT,Allegiant Travel Company,2895923169.92,Transportation,Air Freight/Delivery Services,Mid Cap,166.69,23.37,76.98,-33.95,-5.16,0.78,13.33,45.2,46.71,41.46,8.33,5.94
144,ALGR,Allegro Merger Corp.,195898680.0,Finance,Business Services,Micro Cap,10.3,2.69,,,,,,,,,,
148,ALNA,"Allena Pharmaceuticals, Inc.",62770653.875,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Micro Cap,2.05,123.9,,,,,,,,,,
149,ARLP,"Alliance Resource Partners, L.P.",1409430033.0,Energy,Coal Mining,Small Cap,9.22,32.6,-28.9,-1.9,-4.04,87.65,-65.48,17.96,41.34,-18.15,20.7,61.77
150,LNT,Alliant Energy Corporation,13738547013.72,Public Utilities,Power Generation,Large Cap,58.83,13.02,33.43,2.37,16.05,25.44,-2.63,33.4,21.95,5.78,25.27,27.23
151,AESE,"Allied Esports Entertainment, Inc.",73004859.9,Consumer Services,Services-Misc. Amusement & Recreation,Micro Cap,3.0,81.37,,,,,,,,,,
152,AHPI,"Allied Healthcare Products, Inc.",6409618.589,Health Care,Industrial Specialties,Micro Cap,4.35,101.88,-33.33,-12.44,4.5,-10.71,-39.13,-19.3,-13.31,-22.65,-20.93,-19.78
153,AMOT,"Allied Motion Technologies, Inc.",474428046.4,Capital Goods,Electrical Products,Small Cap,47.29,36.7,8.88,35.4,55.29,-17.91,10.99,91.64,91.11,18.84,-17.42,175.2
154,ALLO,"Allogene Therapeutics, Inc.",3086561197.32,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Mid Cap,22.64,42.95,,,,,,,,,,
155,ALLT,Allot Ltd.,325656609.24,Technology,Computer Communications Equipment,Small Cap,9.48,30.42,40.03,13.88,11.27,-17.7,-36.6,-39.33,-15.1,17.24,30.58,195.43
156,MDRX,"Allscripts Healthcare Solutions, Inc.",1574952091.5,Technology,EDP Services,Small Cap,8.91,33.39,1.87,-33.75,42.51,-33.62,20.44,-17.4,64.12,-50.26,-1.71,-4.75
157,ALNY,"Alnylam Pharmaceuticals, Inc.",13247211382.08,Health Care,Major Pharmaceuticals,Large Cap,117.03,40.5,57.96,-42.61,239.34,-60.23,-2.95,50.86,252.33,123.93,-17.34,-44.04
158,AOSL,Alpha and Omega Semiconductor Limited,348161355.66,Technology,Semiconductors,Small Cap,13.21,49.7,33.66,-37.71,-23.08,131.45,3.84,14.79,-8.21,14.91,-43.02,0.0
159,GOOG,Alphabet Inc.,1021006402625.11,Technology,"Computer Software: Programming, Data Processing",Large Cap,1433.9,23.31,29.1,-1.03,35.58,1.71,44.56,-5.97,58.43,9.52,8.74,-4.2
160,GOOGL,Alphabet Inc.,1020406374544.48,Technology,"Computer Software: Programming, Data Processing",Large Cap,1431.73,22.94,28.18,-0.8,32.93,1.86,46.61,-5.39,58.43,9.52,8.74,-4.2
161,SMCP,AlphaMark Actively Managed Small Cap ETF,22832949.26,,,Micro Cap,24.528,13.81,,,,,,,,,,
162,ATEC,"Alphatec Holdings, Inc.",455913344.5,Health Care,Medical/Dental Instruments,Small Cap,6.25,69.19,210.04,-13.91,-17.13,-10.83,-78.72,-29.85,21.82,-4.07,-36.3,-49.44
163,ALPN,"Alpine Immune Sciences, Inc.",62640778.16,Health Care,Major Pharmaceuticals,Micro Cap,2.9,86.91,,,,,,,,,,
164,ALTR,Altair Engineering Inc.,2806356831.2,Technology,Computer Software: Prepackaged Software,Mid Cap,36.72,42.9,,,,,,,,,,
165,ATHE,Alterity Therapeutics Limited,5177023.48,Health Care,Major Pharmaceuticals,Micro Cap,0.81,81.56,-39.06,-58.97,91.41,-62.27,-56.1,-76.6,218.64,49.66,17.6,-5.3
166,ALT,"Altimmune, Inc.",28222052.48,Health Care,Major Pharmaceuticals,Micro Cap,1.85,84.15,-8.25,-96.55,238700.0,-99.85,-6.29,536.36,29.41,93.18,-97.14,-8.81
167,ASPS,Altisource Portfolio Solutions S.A.,304675563.84,Consumer Services,Other Consumer Services,Small Cap,19.11,38.27,-14.05,-19.68,5.3,-4.39,-17.7,-78.7,83.07,72.68,74.78,36.78
168,AIMC,Altra Industrial Motion Corp.,2366534993.1,Capital Goods,Industrial Machinery/Components,Mid Cap,34.07,41.06,47.0,-49.19,38.66,50.27,-9.73,-15.84,57.3,18.13,-5.19,60.81
169,ALTM,Altus Midstream Company,861062658.25,Public Utilities,Natural Gas Distribution,Small Cap,2.11,65.5,,,,,,,,,,
170,AMAG,"AMAG Pharmaceuticals, Inc.",401562669.44,Health Care,Major Pharmaceuticals,Small Cap,9.35,67.66,-19.88,14.64,-61.93,15.27,-29.16,75.54,65.06,-22.21,4.48,-52.41
171,AMAL,Amalgamated Bank,597211069.2,Consumer Non-Durables,Textiles,Small Cap,17.97,25.19,,,,,,,,,,
172,AMRN,Amarin Corporation plc,7055451529.39,Health Care,Major Pharmaceuticals,Mid Cap,19.66,61.89,57.53,239.4,30.19,62.96,92.86,-50.25,-75.65,8.01,-8.66,473.43
173,AMRK,"A-Mark Precious Metals, Inc.",60329841.0,Basic Industries,Other Specialty Stores,Micro Cap,8.18,36.05,,,,,,,,,,
174,AMZN,"Amazon.com, Inc.",924522992078.4,Consumer Services,Catalog/Specialty Distribution,Large Cap,1828.34,21.57,23.03,28.43,55.96,10.95,117.78,-22.18,58.96,44.93,-3.83,33.81
175,AMBC,"Ambac Financial Group, Inc.",1031794476.0,Finance,Property-Casualty Insurers,Small Cap,21.91,23.04,,,,,,,,,,
177,AMBA,"Ambarella, Inc.",2102923637.38,Technology,Semiconductors,Mid Cap,58.53,41.82,,,,,,,,,,
178,AMCX,AMC Networks Inc.,2347334203.5,Consumer Services,Television Services,Mid Cap,37.72,27.55,,,,,,,,,,
179,AMCI,AMCI Acquisition Corp.,280612677.28,Finance,Business Services,Micro Cap,10.17,3.88,,,,,,,,,,
182,DOX,Amdocs Limited,10023098427.33,Technology,EDP Services,Large Cap,73.52,17.21,25.49,-9.12,13.97,8.19,18.39,14.66,23.03,20.07,3.86,-3.72
183,AMED,Amedisys Inc,5815945389.67,Health Care,Medical/Nursing Services,Mid Cap,178.29,31.6,42.53,122.18,23.65,8.42,33.97,100.62,29.35,3.67,-67.43,-31.07
184,AMTB,Amerant Bancorp Inc.,875377365.5,Finance,Major Banks,Small Cap,19.61,39.72,,,,,,,,,,
